country,date_month_string,positive_per_country,neutral_per_country,negative_per_country,positive_rate_per_country,neutral_rate_per_country,negative_rate_per_country,date_month_number,positive_globally,neutral_globally,negative_globally,positive_rate_globally,neutral_rate_globally,negative_rate_globally
Afghanistan,2020-12,1,0,0,1,0,0,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Afghanistan,2021-02,1,2,0,0.3333333333333333,0.6666666666666666,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Afghanistan,2021-03,3,1,0,0.75,0.25,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Afghanistan,2021-04,1,0,0,1,0,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Afghanistan,2021-05,1,1,0,0.5,0.5,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Afghanistan,2021-06,0,2,0,0,1,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Afghanistan,2021-09,2,0,0,1,0,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Afghanistan,2021-11,0,0,1,0,0,1,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Albania,2021-01,0,1,0,0,1,0,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Albania,2021-02,1,0,0,1,0,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Albania,2021-03,5,8,1,0.35714285714285715,0.5714285714285714,0.07142857142857142,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Albania,2021-04,1,3,2,0.16666666666666666,0.5,0.3333333333333333,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Albania,2021-05,0,0,1,0,0,1,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Albania,2021-06,3,1,1,0.6,0.2,0.2,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Albania,2021-08,0,0,1,0,0,1,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Albania,2021-09,1,1,0,0.5,0.5,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Algeria,2021-02,0,2,1,0,0.6666666666666666,0.3333333333333333,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Algeria,2021-03,0,1,0,0,1,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Algeria,2021-04,1,0,0,1,0,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Algeria,2021-05,1,0,0,1,0,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Algeria,2021-07,0,1,0,0,1,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Algeria,2021-10,0,1,0,0,1,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Andorra,2021-06,0,1,1,0,0.5,0.5,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Andorra,2021-07,1,0,0,1,0,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Angola,2021-08,2,0,0,1,0,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Antarctica,2021-01,1,0,0,1,0,0,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Antarctica,2021-02,1,1,0,0.5,0.5,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Antarctica,2021-03,1,0,1,0.5,0,0.5,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Antarctica,2021-05,2,1,1,0.5,0.25,0.25,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Antarctica,2021-06,2,1,0,0.6666666666666666,0.3333333333333333,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Antarctica,2021-08,1,10,22,0.030303030303030304,0.30303030303030304,0.6666666666666666,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Antarctica,2021-09,1,0,5,0.16666666666666666,0,0.8333333333333334,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Antarctica,2021-10,1,1,0,0.5,0.5,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Argentina,2020-12,0,2,0,0,1,0,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Argentina,2021-02,0,0,1,0,0,1,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Argentina,2021-03,2,4,2,0.25,0.5,0.25,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Argentina,2021-04,6,2,0,0.75,0.25,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Argentina,2021-05,3,2,0,0.6,0.4,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Argentina,2021-06,5,3,2,0.5,0.3,0.2,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Argentina,2021-07,4,2,3,0.4444444444444444,0.2222222222222222,0.3333333333333333,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Argentina,2021-08,4,5,2,0.36363636363636365,0.45454545454545453,0.18181818181818182,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Argentina,2021-09,16,1,4,0.7619047619047619,0.047619047619047616,0.19047619047619047,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Argentina,2021-10,27,5,6,0.7105263157894737,0.13157894736842105,0.15789473684210525,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Argentina,2021-11,31,1,8,0.775,0.025,0.2,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Armenia,2021-02,0,4,0,0,1,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Armenia,2021-03,1,2,1,0.25,0.5,0.25,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Armenia,2021-04,1,8,1,0.1,0.8,0.1,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Armenia,2021-07,1,5,0,0.16666666666666666,0.8333333333333334,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Armenia,2021-08,1,2,0,0.3333333333333333,0.6666666666666666,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Armenia,2021-09,1,3,0,0.25,0.75,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Armenia,2021-10,3,10,0,0.23076923076923078,0.7692307692307693,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Armenia,2021-11,0,3,0,0,1,0,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Australia,2020-12,4,3,0,0.5714285714285714,0.42857142857142855,0,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Australia,2021-01,3,5,8,0.1875,0.3125,0.5,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Australia,2021-02,10,9,7,0.38461538461538464,0.34615384615384615,0.2692307692307692,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Australia,2021-03,21,16,13,0.42,0.32,0.26,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Australia,2021-04,22,16,12,0.44,0.32,0.24,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Australia,2021-05,18,8,10,0.5,0.2222222222222222,0.2777777777777778,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Australia,2021-06,19,20,17,0.3392857142857143,0.35714285714285715,0.30357142857142855,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Australia,2021-07,24,19,13,0.42857142857142855,0.3392857142857143,0.23214285714285715,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Australia,2021-08,64,43,46,0.41830065359477125,0.28104575163398693,0.3006535947712418,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Australia,2021-09,35,38,27,0.35,0.38,0.27,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Australia,2021-10,50,35,26,0.45045045045045046,0.3153153153153153,0.23423423423423423,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Australia,2021-11,11,22,19,0.21153846153846154,0.4230769230769231,0.36538461538461536,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Austria,2020-12,2,0,0,1,0,0,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Austria,2021-01,2,2,1,0.4,0.4,0.2,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Austria,2021-02,3,13,2,0.16666666666666666,0.7222222222222222,0.1111111111111111,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Austria,2021-03,17,16,6,0.4358974358974359,0.41025641025641024,0.15384615384615385,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Austria,2021-04,8,15,4,0.2962962962962963,0.5555555555555556,0.14814814814814814,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Austria,2021-05,2,0,1,0.6666666666666666,0,0.3333333333333333,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Austria,2021-06,7,2,1,0.7,0.2,0.1,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Austria,2021-07,0,3,0,0,1,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Austria,2021-08,3,2,2,0.42857142857142855,0.2857142857142857,0.2857142857142857,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Austria,2021-09,2,1,0,0.6666666666666666,0.3333333333333333,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Austria,2021-10,2,0,0,1,0,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Austria,2021-11,2,1,1,0.5,0.25,0.25,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Azerbaijan,2021-01,1,0,0,1,0,0,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Azerbaijan,2021-02,1,0,0,1,0,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Azerbaijan,2021-03,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Azerbaijan,2021-04,0,6,0,0,1,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Azerbaijan,2021-05,0,3,0,0,1,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Azerbaijan,2021-06,3,2,0,0.6,0.4,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Azerbaijan,2021-07,0,6,1,0,0.8571428571428571,0.14285714285714285,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Azerbaijan,2021-08,2,1,2,0.4,0.2,0.4,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Azerbaijan,2021-09,1,1,0,0.5,0.5,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Azerbaijan,2021-11,0,0,28,0,0,1,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Bahamas,2021-03,1,0,0,1,0,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Bahrain,2021-01,0,0,1,0,0,1,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Bahrain,2021-02,1,1,2,0.25,0.25,0.5,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Bahrain,2021-03,2,7,1,0.2,0.7,0.1,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Bahrain,2021-04,3,0,1,0.75,0,0.25,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Bahrain,2021-05,3,1,0,0.75,0.25,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Bahrain,2021-06,3,8,3,0.21428571428571427,0.5714285714285714,0.21428571428571427,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Bahrain,2021-07,0,1,0,0,1,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Bahrain,2021-08,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Bahrain,2021-09,1,0,0,1,0,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Bahrain,2021-11,3,0,1,0.75,0,0.25,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Bangladesh,2020-12,1,1,0,0.5,0.5,0,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Bangladesh,2021-01,2,2,1,0.4,0.4,0.2,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Bangladesh,2021-02,8,6,0,0.5714285714285714,0.42857142857142855,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Bangladesh,2021-03,9,10,7,0.34615384615384615,0.38461538461538464,0.2692307692307692,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Bangladesh,2021-04,10,18,2,0.3333333333333333,0.6,0.06666666666666667,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Bangladesh,2021-05,10,11,2,0.43478260869565216,0.4782608695652174,0.08695652173913043,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Bangladesh,2021-06,23,25,9,0.40350877192982454,0.43859649122807015,0.15789473684210525,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Bangladesh,2021-07,18,27,2,0.3829787234042553,0.574468085106383,0.0425531914893617,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Bangladesh,2021-08,42,70,6,0.3559322033898305,0.5932203389830508,0.05084745762711865,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
